shipment_id,warehouse,region,customer_id,shipment_status,revenue,delivery_days
S1001,WH_PUNE,West,C101,DELIVERED,12500,3
S1002,WH_PUNE,West,C102,DELIVERED,8000,2
S1003,WH_MUMBAI,West,C103,IN_TRANSIT,15000,4
S1004,WH_BANGALORE,South,C101,DELIVERED,11000,5
S1005,WH_PUNE,West,C101,DELIVERED,6500,4
S1006,WH_BANGALORE,South,C104,DELIVERED,18000,3
S1007,WH_MUMBAI,West,C105,DELIVERED,9000,6
S1008,WH_DELHI,North,C106,DELIVERED,20000,4
S1009,WH_DELHI,North,C107,IN_TRANSIT,14000,2
S1010,WH_BANGALORE,South,C108,DELIVERED,7500,5
S1011,WH_PUNE,West,C109,CANCELLED,5000,1
S1012,WH_DELHI,North,C106,DELIVERED,16000,3
