event_id,device_id,event_time,event_type,temperature
E001,D101,2026-09-22 08:00:00,START,42.5
E002,D102,2026-09-22 08:15:00,START,40.2
E003,D101,2026-09-22 09:30:00,ERROR,78.5
E004,D103,2026-09-22 10:00:00,START,39.8
E005,D102,2026-09-22 11:45:00,ERROR,82.1
E006,D101,2026-09-22 12:00:00,STOP,55.4
E007,D103,invalid_timestamp,ERROR,76.8
E008,D104,2026-09-22 13:30:00,START,41.3
E009,D102,2026-09-22 14:15:00,STOP,51.7
E010,D104,2026-09-22 15:00:00,ERROR,80.4
E011,D103,2026-09-22 16:20:00,STOP,49.9
E012,D105,2026-09-23 00:15:00,START,38.7
